January,February,March,April,May,June,July,August,September,October,November,December
86,1338,93,119,178,288,159,167,318,789,180,1441
0,0,131,1307,1558,1328,1643,451,113,123,0,1506
975,0,126,0,0,1501,115,0,683,101,1576,1090
811,113,1435,385,120,138,152,1680,1027,88,788,142
1657,0,1375,1229,295,1443,125,1289,132,145,128,105
91,1455,680,1370,974,1447,0,127,1174,818,1109,1599
1296,0,109,807,0,174,160,549,0,130,513,103
1794,0,134,119,101,1101,1099,1386,1255,1175,1628,137
96,132,124,1476,1182,1174,759,146,136,638,1231,1280
0,0,0,0,0,0,0,0,0,0,0,0
1647,161,123,694,1428,112,1178,713,624,1503,84,0
118,1467,1593,0,1736,902,324,1461,841,0,320,125
728,0,1567,278,96,0,102,1749,129,289,92,0
1069,0,92,453,612,1216,274,1027,1722,89,77,73
418,141,1746,155,985,104,138,0,0,696,285,169
111,0,149,0,1381,168,87,145,120,488,106,757
210,238,0,160,838,117,746,1749,92,992,104,386
467,947,173,0,100,1121,1305,1758,909,0,716,1651
490,106,0,317,1079,324,0,1790,155,1591,1462,1391
366,74,93,127,1575,175,1078,1033,1211,1280,111,107
252,0,1035,104,544,128,95,1587,168,287,1602,122
112,747,1576,0,1200,159,447,104,120,259,0,105
718,127,118,1369,271,118,1135,521,109,1650,120,170
1077,102,1242,127,111,607,0,161,0,97,94,0
149,104,95,1397,91,1605,215,1307,108,0,1679,785
1400,1553,1351,1353,112,336,0,1765,157,613,1052,131
135,1401,0,639,123,101,673,90,917,104,924,90
277,125,796,1574,1497,568,1276,142,902,0,163,299
126,1428,173,126,1308,560,914,1210,680,1321,1147,0
0,1513,71,110,142,1657,404,0,0,1395,84,235
0,0,0,0,0,0,0,0,0,0,0,0
0,544,1137,792,99,1621,125,0,360,409,0,879
1391,1682,1685,152,90,1388,201,500,735,0,91,1139
109,0,1489,458,579,132,354,554,1217,1591,1442,1507
0,134,655,92,1576,418,112,95,112,989,1444,718
1717,118,72,130,962,1445,134,119,1340,1758,85,1474
145,1315,369,127,114,0,1670,483,144,676,628,121
1377,1240,114,149,1045,159,1421,1740,827,129,1280,1346
0,915,1383,165,108,129,119,637,107,94,1526,76
1029,0,133,234,104,103,1228,1679,123,1421,1028,280
230,105,170,92,524,97,1720,70,0,0,0,675
339,1508,375,1619,1115,1099,100,316,1379,1363,474,97
0,105,142,831,1700,0,319,0,1303,287,70,143
74,0,1625,886,97,604,1753,680,116,366,288,362
107,479,0,172,1309,84,1792,1376,152,1119,586,287
132,0,583,246,103,1653,1475,1545,1349,315,152,1391
99,368,1335,0,94,100,317,833,1631,1634,174,160
0,696,1763,1105,1172,1539,517,1533,1270,96,485,626
134,95,695,0,129,1427,123,648,135,304,0,1552
324,1531,0,0,1559,106,572,160,383,115,126,101
99,1037,1706,283,200,98,885,91,0,103,1679,0
135,1752,0,1718,128,128,0,102,120,104,566,137
97,118,1772,1443,950,1266,85,130,161,143,1270,1104
134,159,110,1017,1715,0,898,70,98,837,1673,245
1351,107,721,134,1242,991,113,1171,764,577,458,438
105,1534,169,1497,1194,134,673,119,1557,176,1123,168
756,1737,589,1354,816,906,82,0,1728,1066,156,0
103,463,806,1240,332,594,105,917,981,511,1072,1246
1125,100,800,1255,115,95,1679,0,180,1689,727,0
1643,143,88,589,146,179,451,458,0,306,112,163
0,104,0,1334,0,467,0,0,121,1530,116,779
1038,121,119,0,740,0,490,115,126,102,410,84
330,1498,1780,0,757,443,673,1051,610,108,1737,769
1363,691,1288,856,174,1124,144,462,125,104,1216,171
0,154,142,159,613,1465,0,0,1219,1251,114,94
538,1641,85,1026,389,640,111,1538,1402,172,155,784
377,868,95,784,993,742,705,0,898,1350,1036,104
120,93,134,1581,1437,324,1121,98,1613,1257,1461,712
605,156,639,94,156,1796,1025,241,127,132,172,114
1129,88,1040,250,133,0,131,1501,422,106,109,148
449,249,1035,0,494,113,563,388,737,0,89,1125
0,0,0,0,0,0,0,0,0,0,0,0
103,0,854,665,165,85,964,1799,1589,622,1618,123
1431,672,0,0,1769,1077,286,153,523,1350,824,1146
819,73,111,104,270,1060,734,956,92,742,1482,0
1003,1445,0,277,0,1313,748,165,118,117,300,962
124,115,446,1458,980,298,119,156,116,1450,1652,950
1010,163,1455,92,85,136,1409,449,108,293,0,0
531,1726,0,0,99,176,141,930,113,1349,0,107
132,631,1399,97,120,425,641,619,318,89,0,1435
114,127,1717,1166,135,110,893,90,87,86,0,1062
497,1144,496,511,89,1323,1042,506,751,91,97,932
74,144,125,672,0,587,1433,99,349,494,89,0
87,109,359,101,439,1029,1139,1590,0,1352,1147,1364
85,90,1463,100,109,1348,472,211,881,244,1461,726
102,1712,0,106,1336,0,449,1451,1117,1637,334,0
136,1424,136,117,73,1575,92,390,134,128,1316,386
876,1543,1448,0,0,1692,1451,229,798,1333,124,126
163,576,113,0,1357,118,0,89,1131,0,1729,1742
102,74,231,1599,109,935,299,656,92,266,711,90
1550,652,758,317,1133,106,541,121,201,123,91,557
1338,93,244,97,399,780,899,771,108,129,115,310
850,0,356,153,85,112,812,1343,130,163,630,103
95,747,1127,91,90,134,98,1016,876,0,293,0
786,138,127,0,0,110,1266,861,1558,1041,1052,0
81,1459,935,127,210,369,0,95,1647,125,1035,902
0,0,623,88,0,131,916,133,114,658,124,721
819,0,576,636,1362,499,1415,630,98,767,545,247
472,1369,304,457,71,581,729,1680,809,0,1712,111
126,1279,667,0,805,0,1318,85,1423,292,1465,1572
168,455,205,116,119,1756,1625,0,115,179,102,712
113,1516,648,114,909,755,1298,122,136,1749,0,0
130,1562,1777,99,417,102,489,97,714,1714,162,559
725,1453,131,1579,165,1243,177,117,127,668,111,655
132,722,153,671,1201,122,90,1677,1397,0,1206,180
170,1458,1197,131,1011,1755,98,1790,122,1128,586,167
124,1622,112,1151,115,1481,1080,105,1093,133,72,336
719,0,778,0,763,161,0,0,141,1005,166,899
1426,289,1576,467,87,878,98,111,456,100,375,613
1643,1241,88,952,98,125,1617,129,450,1201,125,143
413,74,1143,1179,963,971,660,147,1663,956,141,136
0,434,119,409,1085,109,1260,0,1406,117,75,651
130,1383,1165,156,637,123,95,958,130,1284,1765,988
0,0,0,0,0,0,0,0,0,0,0,0
448,126,1584,0,862,1545,101,0,105,0,129,207
124,0,655,98,83,1605,331,0,99,1182,85,100
0,129,0,97,1776,118,1337,101,1760,1570,0,1517
891,99,1425,106,699,407,1077,166,118,112,110,107
603,1295,0,619,1294,431,1301,131,121,83,85,607
124,1711,0,0,111,1710,75,0,954,104,1379,574
0,91,1359,0,1652,1468,105,1404,1196,860,0,157
169,176,873,331,70,0,217,0,0,481,846,0
131,1779,120,107,107,1021,1656,0,462,130,96,1335
148,1478,89,882,81,429,1487,133,1178,151,1289,1454
105,957,173,148,1100,698,716,157,111,908,119,832
811,979,95,100,127,0,1594,1056,1555,1698,334,163
101,1577,176,423,1609,103,324,907,129,1713,92,609
130,0,124,97,804,115,97,85,640,112,1151,166
0,108,126,1189,1446,881,91,0,133,116,0,131
290,629,1543,141,950,170,1791,1525,112,110,1247,138
610,1664,120,0,1635,121,636,83,683,151,791,86
1270,603,89,1609,0,978,411,1676,1583,105,0,1270
84,700,177,126,144,657,1550,135,164,143,1105,71
821,683,1567,1651,137,154,114,393,134,1491,177,127
132,936,132,737,111,119,130,116,1414,94,653,154
484,1239,0,458,1151,92,433,1653,0,0,85,319
1040,1394,509,1068,1145,1003,365,0,0,1138,220,1444
114,785,301,116,88,126,0,143,285,173,1182,1324
170,0,248,85,124,90,88,101,235,0,121,0
1631,623,99,1787,158,98,95,1233,162,0,775,1150
834,769,88,1741,138,0,1740,133,1374,1177,79,1608
1550,946,1685,85,1444,1129,1538,83,128,354,581,128
1084,1040,115,119,0,211,0,126,1352,498,128,1524
0,0,100,1367,1788,123,289,1561,156,1444,1329,108
934,99,893,1374,121,1579,493,1483,110,105,953,0
355,0,167,129,127,132,85,383,217,156,87,87
549,903,945,97,0,1116,0,448,872,174,166,100
123,1591,961,331,625,106,146,889,124,358,1134,633
1493,940,1188,559,0,110,131,347,639,85,115,99
148,171,177,93,667,1610,823,1683,0,403,908,872
1121,111,1598,1013,516,116,74,997,955,146,1430,953
116,853,90,1658,1758,1248,128,100,892,747,97,1177
76,120,171,245,268,884,88,1500,657,154,1076,379
111,974,78,124,1095,1333,156,0,1114,1788,760,89
0,0,0,0,0,0,0,0,0,0,0,0
1289,130,100,87,98,84,87,87,1346,1385,125,1541
102,134,87,124,551,1595,0,112,1068,114,1692,421
0,0,0,0,0,0,0,0,0,0,0,0
1623,116,0,87,141,398,341,75,89,97,73,86
1390,105,110,792,1427,126,86,152,96,176,1621,0
1392,87,131,87,1035,941,201,208,478,0,132,86
724,148,150,139,135,0,91,999,528,263,110,1464
1235,508,967,171,96,129,1186,0,1411,90,891,498
130,98,1482,961,127,606,812,1504,100,947,1053,881
125,0,1047,1352,0,0,297,134,272,0,334,478
907,666,1040,1274,1443,0,1373,399,658,101,1170,938
89,1013,1046,111,1077,1176,97,91,121,112,305,0
178,161,180,109,0,128,691,357,92,1529,0,99
1040,150,119,1316,116,1620,935,0,503,993,1518,943
1226,100,98,112,120,113,0,89,1760,1222,94,116
527,97,136,938,79,1595,1078,84,1400,0,99,128
81,1441,890,1546,821,115,0,117,779,1333,105,99
996,113,1693,618,91,0,159,105,0,88,0,677
114,229,0,135,126,147,83,127,1061,0,1276,141
0,271,127,107,347,1685,114,332,1184,1757,869,130
0,1351,291,133,1063,115,762,0,744,108,111,0
0,113,368,936,1348,124,176,0,167,128,1376,1776
142,0,570,1195,0,1091,0,127,1663,427,0,1134
0,121,136,1538,399,1436,124,980,122,794,238,267
93,881,1635,598,214,809,73,1123,1390,112,1050,97
1048,121,144,238,156,129,88,0,135,352,949,0
644,1751,503,73,104,0,826,1347,115,683,1490,869
0,476,675,1220,0,643,154,146,639,179,1101,124
378,1241,149,1081,1102,385,1055,1727,1576,1131,110,0
1763,952,126,1319,1611,613,751,108,133,127,88,236
126,89,124,1446,107,533,1341,87,1778,133,116,1323
418,967,180,1034,924,88,702,129,92,1184,172,131
556,0,832,1695,104,75,1657,1539,1526,628,404,170
117,0,103,1190,781,1190,818,117,869,109,148,571
1379,1218,1188,110,171,877,135,1041,244,975,286,89
0,1551,156,236,135,143,103,519,779,900,106,1372
103,123,262,118,1286,0,101,108,123,1361,130,962
0,1504,1392,99,116,146,0,261,1075,0,213,170
625,129,0,1229,574,785,142,0,104,200,0,0
316,89,133,1027,274,99,122,1051,1209,107,1104,1422
1339,173,1580,86,1794,769,119,92,1565,0,0,118
150,1016,99,100,0,150,1294,1407,134,79,699,162
0,0,0,0,0,0,0,0,0,0,0,0
123,830,912,391,160,99,103,130,102,601,112,215
99,1189,137,897,93,87,1554,0,1039,237,768,130
1315,102,134,143,111,0,129,100,396,219,104,536
825,100,0,863,810,95,179,1099,1600,126,0,1497
151,458,372,931,1556,1044,403,940,170,208,114,1456
0,0,0,0,0,0,0,0,0,0,0,0
305,124,358,474,87,510,865,1673,0,1245,177,100
1521,1680,128,1578,417,90,1683,133,97,1769,496,783
660,683,835,154,943,0,131,145,870,125,177,0
914,93,89,125,141,1223,0,127,89,1653,74,129
862,801,357,129,817,434,0,86,493,86,77,1270
