Customer_ID,Stability_Month_1_Percentile,Volume_Month_1_Percentile,Stability_Month_2_Percentile,Volume_Month_2_Percentile,Stability_Month_3_Percentile,Volume_Month_3_Percentile,Stability_Month_4_Percentile,Volume_Month_4_Percentile,Stability_Month_5_Percentile,Volume_Month_5_Percentile,Stability_Month_6_Percentile,Volume_Month_6_Percentile,Churn
Person_1,47,54,50,51,51,55,49,51,49,53,51,53,0
Person_2,54,55,53,64,54,73,53,82,56,91,55,100,0
Person_3,41,44,42,38,40,32,40,26,40,20,38,14,1
Person_4,43,66,39,59,42,52,43,45,40,38,40,31,1
Person_5,42,45,45,54,42,63,43,72,43,81,41,90,1
Person_6,47,27,47,41,45,41,47,80,44,88,44,45,0
Person_7,62,54,67,51,72,50,77,53,82,54,87,51,0
Person_8,57,51,65,57,73,63,81,69,89,75,97,81,0
Person_9,67,47,75,39,83,31,91,23,99,15,100,7,1
Person_10,56,47,64,54,72,61,80,68,88,61,96,54,0
Person_11,55,41,60,36,65,41,70,46,75,51,80,56,0
Person_12,51,34,56,62,61,1,66,80,71,39,76,85,0
Person_13,38,39,32,38,26,40,20,41,14,39,8,41,0
Person_14,34,51,28,58,22,65,16,72,10,79,4,86,1
Person_15,36,54,28,49,20,44,12,39,4,34,0,29,1
Person_16,43,56,36,47,29,38,22,29,15,20,8,11,0
Person_17,42,45,37,40,32,35,27,40,22,45,17,50,0
Person_18,41,16,35,76,29,54,23,1,17,83,11,50,0
Person_19,63,53,57,54,51,51,45,53,39,51,33,51,0
Person_20,48,55,56,61,48,67,40,73,32,79,24,85,0
Person_21,60,45,65,38,70,31,75,24,70,17,65,10,1
Person_22,65,51,59,60,53,69,47,78,41,69,35,60,1
Person_23,62,41,67,35,62,29,57,35,52,41,47,47,0
Person_24,64,83,70,59,76,95,70,74,64,35,58,97,0
Person_25,44,42,50,40,56,42,62,41,68,40,74,38,1
Person_26,38,53,47,62,56,71,65,80,74,89,83,98,0
Person_27,37,40,46,34,55,28,64,22,73,16,82,10,0
Person_28,33,65,24,72,15,65,24,58,33,51,42,44,0
Person_29,43,44,35,50,27,56,35,62,43,68,51,74,0
Person_30,48,73,39,26,48,52,57,14,66,19,75,35,0
Person_31,5,59,93,59,41,59,6,55,27,57,70,58,0
Person_32,32,52,13,58,31,64,4,70,97,76,46,82,0
Person_33,93,45,40,37,4,29,7,21,8,13,1,5,1
Person_34,37,60,41,65,91,70,9,65,95,60,14,55,0
Person_35,61,48,19,40,56,48,19,56,29,64,45,72,0
Person_36,4,68,66,67,55,60,95,51,20,89,82,84,1
Person_37,56,57,55,57,55,53,58,53,54,57,56,55,0
Person_38,51,48,53,54,53,60,52,66,51,72,51,78,0
Person_39,52,50,54,44,52,38,55,32,52,26,52,20,0
Person_40,46,67,43,76,46,67,43,58,43,49,46,40,1
Person_41,46,53,47,47,50,41,46,47,46,53,50,59,1
Person_42,42,70,45,63,45,83,41,64,45,82,44,24,0
Person_43,61,50,70,48,79,50,88,46,97,47,100,50,1
Person_44,53,50,59,57,65,64,71,71,77,78,83,85,0
Person_45,47,42,54,36,61,30,68,24,75,18,82,12,1
Person_46,53,56,59,63,65,56,71,49,77,42,83,35,0
Person_47,60,40,66,32,72,40,78,48,84,56,90,64,0
Person_48,62,0,69,22,76,67,83,29,90,7,97,71,0
Person_49,39,43,31,42,23,42,15,41,7,43,0,43,0
Person_50,44,54,37,62,30,70,23,78,16,86,9,94,1
Person_51,43,32,34,24,25,16,16,8,7,0,0,0,1
Person_52,43,62,38,68,33,62,28,56,23,50,18,44,0
Person_53,43,47,37,38,31,47,25,56,19,65,13,74,0
Person_54,44,52,38,74,32,41,26,14,20,91,14,34,0
Person_55,49,52,58,56,67,55,76,52,67,55,58,55,0
Person_56,56,64,48,69,40,74,32,79,24,84,16,89,0
Person_57,59,46,51,37,43,28,35,19,27,10,19,1,0
Person_58,49,50,40,59,31,68,22,59,13,50,4,41,1
Person_59,63,42,69,37,75,42,69,47,63,52,57,57,0
Person_60,48,6,55,8,62,57,55,73,48,36,41,36,0
Person_61,47,55,39,56,47,56,55,58,63,58,71,55,0
Person_62,37,52,46,58,55,64,64,70,73,76,82,82,0
Person_63,44,47,53,39,62,31,71,23,80,15,89,7,0
Person_64,44,54,38,46,32,38,38,30,44,22,50,14,0
Person_65,33,49,24,43,15,49,6,55,15,61,24,67,1
Person_66,54,72,49,17,44,52,49,68,54,13,59,96,0
Person_67,93,46,17,48,47,45,1,48,73,46,53,48,1
Person_68,62,63,43,70,25,77,77,84,35,91,1,98,0
Person_69,84,38,38,31,67,24,78,17,54,10,22,3,1
Person_70,11,62,1,69,42,76,48,69,26,62,84,55,0
Person_71,25,40,72,32,100,24,34,32,16,40,88,48,0
Person_72,44,16,46,75,42,93,51,21,74,86,11,30,1
Person_73,49,43,49,46,50,42,51,42,50,45,52,46,0
Person_74,53,56,54,62,55,68,52,74,54,80,51,86,0
Person_75,46,54,45,49,46,44,47,39,43,34,46,29,1
Person_76,42,50,40,43,41,36,44,29,40,22,41,15,1
Person_77,43,43,46,35,44,43,43,51,42,59,46,67,1
Person_78,47,58,51,88,49,35,48,80,47,57,47,67,0
Person_79,57,55,62,53,67,54,72,55,77,55,82,51,0
Person_80,55,64,64,70,73,76,82,82,91,88,100,94,0
Person_81,63,35,70,29,77,23,84,17,91,11,98,5,1
Person_82,64,64,69,57,74,50,79,43,84,36,89,29,0
Person_83,49,44,55,37,61,30,67,37,73,44,79,51,0
Person_84,61,99,69,42,77,23,85,50,93,43,100,28,0
Person_85,44,55,37,55,30,58,23,57,16,58,9,56,0
Person_86,36,59,30,66,24,73,18,80,12,87,6,94,1
Person_87,38,43,29,37,20,31,11,25,2,19,0,13,1
Person_88,45,47,36,52,27,57,18,52,9,47,0,42,0
